,y_11,y_12,y_13,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ADM2_EN
758,High,High,Medium,High,High,Medium,High,Yes,5,Physical business,5,0,1,Mathare
759,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,5,0,0,Mathare
760,High,High,High,High,High,High,High,Yes,5,Physical business,5,0,0,Mathare
761,High,Medium,Low,Medium,Medium,Medium,Medium,No,7,Physical business,7,0,1,Mathare
762,High,High,High,High,High,High,High,Yes,11,Physical business,11,0,1,Mathare
766,Medium,Medium,High,Medium,High,High,Medium,No,0,Online business,6,0,1,Mathare
767,High,Medium,High,High,High,Medium,Medium,No,0,Physical business,4,0,1,Mathare
787,High,Medium,High,High,High,High,High,No,2,Physical business,2,0,0,Mathare
796,High,High,Medium,High,High,Medium,Medium,No,0,Online business,5,0,1,Mathare
799,High,Medium,Medium,Medium,Medium,Low,Low,Yes,18,Online business,35,0,1,Mathare
802,Medium,Medium,Medium,Medium,Medium,High,Medium,No,2,Physical business,2,0,1,Mathare
806,High,High,Medium,High,High,Medium,Medium,Yes,14,Physical business,14,0,0,Mathare
807,Medium,Medium,High,Medium,Medium,High,Medium,No,3,Physical business,4,0,1,Mathare
808,Medium,Medium,Low,Medium,Medium,Low,Low,No,0,Physical business,3,0,1,Mathare
811,High,High,Medium,High,Medium,Medium,Medium,Yes,2,Online business,4,0,0,Mathare
816,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,0,Mathare
820,Medium,Medium,High,Medium,High,High,High,No,0,Online business,3,0,1,Mathare
821,Medium,Low,Medium,Medium,Medium,Medium,Medium,Yes,6,Online business,10,0,0,Mathare
822,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Physical business,3,0,1,Mathare
823,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,2,Physical business,1,0,1,Mathare
824,Medium,High,Medium,Medium,Medium,Medium,Medium,No,5,Online business,5,1,1,Mathare
825,Medium,Medium,Medium,Medium,Medium,Medium,Low,No,0,Online business,3,0,1,Mathare
826,High,High,Medium,High,Medium,Medium,Medium,No,8,Online business,15,0,1,Mathare
829,Medium,Medium,Medium,Medium,Medium,Medium,High,No,7,Online business,7,0,1,Mathare
830,High,High,High,High,High,High,High,No,0,Physical business,4,0,1,Mathare
867,Medium,Medium,Medium,Medium,High,Medium,High,No,1,Online business,4,0,1,Mathare
1001,Medium,High,High,High,High,Medium,Medium,No,0,Physical business,2,0,1,Mathare
1002,High,Medium,Medium,Medium,Medium,High,High,No,0,Physical business,2,0,1,Mathare
526,High,Medium,Medium,Medium,High,Medium,Medium,No,3,Physical business,6,1,1,Roysambu
694,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,34,Physical business,54,0,0,Roysambu
897,High,High,High,High,High,Medium,High,Yes,6,Online business,8,0,1,Roysambu
925,High,High,High,High,High,High,High,Yes,1,Online business,1,0,1,Roysambu
936,Very High,High,High,High,High,High,High,Yes,13,Online business,15,0,1,Roysambu
938,High,High,Medium,High,Medium,High,High,No,5,Physical business,5,0,1,Roysambu
970,High,High,High,High,High,High,High,Yes,0,Online business,7,0,1,Roysambu
979,Medium,Medium,High,Medium,High,High,High,Yes,2,Online business,2,0,1,Roysambu
980,Medium,High,High,High,High,Medium,Low,No,4,Online business,4,1,1,Roysambu
982,High,Medium,Medium,Medium,Medium,Medium,High,No,14,Physical business,17,0,1,Roysambu
996,High,High,High,High,High,High,Medium,Yes,0,Physical business,12,0,1,Roysambu
997,Medium,Low,High,Medium,High,Medium,High,No,0,Online business,4,0,0,Roysambu
1003,Very High,High,High,High,High,High,High,Yes,4,Online business,4,0,1,Roysambu
1004,Medium,Medium,High,Medium,High,Medium,Low,No,0,Online business,2,0,0,Roysambu
1005,High,Medium,High,High,High,Medium,High,Yes,3,Online business,3,1,0,Roysambu
1006,High,High,Medium,High,High,High,High,Yes,4,Online business,4,0,0,Roysambu
1007,High,High,Very High,High,Very High,Medium,Medium,No,2,Online business,3,0,0,Roysambu
1009,Medium,High,High,High,High,Medium,High,Yes,2,Online business,4,0,1,Roysambu
1012,High,High,High,High,High,High,High,No,5,Physical business,7,0,1,Roysambu
1013,High,High,Medium,High,Medium,Medium,High,No,2,Physical business,2,0,1,Roysambu
1014,Very High,High,High,High,High,Very High,Very High,No,2,Online business,2,0,1,Roysambu
1019,High,High,High,High,High,High,High,Yes,3,Online business,3,1,1,Roysambu
1023,Very High,Very High,Very High,Very High,Very High,Low,High,Yes,0,Online business,2,0,1,Roysambu
1025,Medium,Medium,Medium,Medium,Medium,Medium,High,No,1,Physical business,1,0,1,Roysambu
1027,High,High,High,High,High,Very High,Very High,No,0,Physical business,3,0,0,Roysambu
1028,Medium,Low,Medium,Medium,High,Very High,Medium,No,2,Physical business,4,1,0,Roysambu
1029,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,1,0,0,Roysambu
1032,High,Medium,High,High,High,Low,High,No,1,Online business,1,0,0,Roysambu
1033,High,Very High,High,High,Very High,High,High,No,1,Physical business,4,0,1,Roysambu
1035,High,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,2,0,0,Roysambu
1041,High,High,High,High,High,High,High,No,2,Physical business,2,1,0,Roysambu
1059,Medium,High,Medium,Medium,Medium,Medium,High,No,3,Online business,3,0,0,Roysambu
1065,Medium,High,High,High,High,High,High,Yes,27,Physical business,30,1,0,Roysambu
1070,High,High,High,High,High,Medium,Medium,No,0,Physical business,1,0,1,Roysambu
1078,High,Medium,High,High,Medium,Medium,Medium,No,1,Physical business,1,0,0,Roysambu
1084,High,Medium,High,High,High,Medium,High,No,0,Online business,2,0,0,Roysambu
1092,Medium,Medium,High,Medium,High,High,High,No,0,Physical business,1,0,0,Roysambu
1096,Low,Low,Low,Low,Low,Low,Low,No,0,Physical business,0,0,0,Roysambu
1098,Low,Low,Low,Low,Low,Low,Low,No,0,other,2,0,1,Roysambu
1099,High,Medium,Medium,Medium,High,Medium,High,No,6,Online business,5,1,0,Roysambu
1100,High,Medium,High,High,High,Medium,High,No,1,Physical business,1,0,0,Roysambu
1105,Medium,High,High,High,High,High,High,No,0,Physical business,1,0,1,Roysambu
1108,High,High,Medium,High,High,High,High,No,0,Physical business,3,0,0,Roysambu
1112,High,High,High,High,High,High,High,No,3,Online business,3,0,1,Roysambu
1113,Medium,Medium,Medium,Medium,High,High,Medium,No,0,Online business,1,0,0,Roysambu
1115,Very High,High,High,High,High,High,High,Yes,10,Physical business,10,0,1,Roysambu
1116,Medium,Medium,Medium,Medium,Medium,High,Very High,No,0,Physical business,2,0,1,Roysambu
1117,Medium,High,High,High,Medium,High,High,No,16,Physical business,16,1,1,Roysambu
1118,Medium,Medium,High,Medium,High,High,High,No,1,Physical business,2,0,1,Roysambu
1119,Medium,Low,Medium,Medium,Medium,Medium,Medium,No,0,Online business,3,0,1,Roysambu
1120,Medium,Medium,High,Medium,High,Medium,High,No,11,Physical business,11,1,0,Roysambu
1121,High,High,High,High,High,High,Medium,No,3,Online business,4,0,0,Roysambu
1122,Medium,High,High,High,High,High,High,No,34,Online business,44,0,0,Roysambu
1123,High,High,High,High,Medium,High,High,No,0,Online business,1,0,0,Roysambu
1124,Medium,High,Medium,Medium,Medium,Medium,Medium,No,2,Online business,2,1,1,Roysambu
1125,High,Medium,High,High,Very High,High,High,No,0,Physical business,3,0,1,Roysambu
1126,Medium,Medium,Medium,Medium,High,High,High,No,2,Online business,4,0,0,Roysambu
1127,High,Medium,Medium,Medium,Low,High,High,No,12,Physical business,13,0,1,Roysambu
1128,Medium,Medium,Low,Medium,Medium,Medium,High,No,0,Online business,4,1,1,Roysambu
1129,Medium,Medium,Low,Medium,Low,Medium,Medium,No,0,Physical business,3,0,1,Roysambu
1130,High,High,Medium,High,High,High,High,No,19,Physical business,19,0,0,Roysambu
1131,Medium,Very Low,Low,Low,Low,Low,Low,No,0,Physical business,2,0,1,Roysambu
1132,High,High,Very High,High,High,Medium,High,No,0,Physical business,3,0,1,Roysambu
1133,Medium,Medium,High,Medium,High,High,Medium,No,2,Physical business,2,1,1,Roysambu
1134,Medium,Medium,Medium,Medium,High,Medium,High,No,0,Online business,1,0,1,Roysambu
1135,High,High,High,High,High,Medium,Very High,No,2,Physical business,3,0,1,Roysambu
1136,Medium,Medium,High,Medium,Medium,Very High,Medium,No,0,Physical business,4,1,0,Roysambu
1137,High,Medium,Medium,Medium,Medium,Very High,High,No,1,Physical business,1,0,0,Roysambu
1138,Medium,High,High,High,Very High,High,Medium,No,0,Physical business,2,1,1,Roysambu
1139,High,High,High,High,High,High,Medium,Yes,7,Online business,7,1,1,Roysambu
1140,High,High,High,High,High,High,High,No,5,Online business,5,0,1,Roysambu
1141,Low,Low,Low,Low,Low,Low,Low,No,0,Physical business,0,0,1,Roysambu
1142,High,Very High,High,High,High,Medium,Low,No,0,Physical business,3,0,1,Roysambu
1143,High,Medium,High,High,High,High,Very High,No,0,Physical business,4,0,0,Roysambu
1144,High,Medium,High,High,High,High,Medium,No,0,Online business,1,0,1,Roysambu
1145,High,Medium,High,High,Medium,High,Medium,No,0,Physical business,3,0,1,Roysambu
1146,Medium,High,High,High,High,High,High,Yes,2,Physical business,2,0,1,Roysambu
1147,High,High,Medium,High,Medium,Medium,High,No,0,Physical business,1,0,0,Roysambu
1148,Medium,High,Medium,Medium,High,High,Medium,No,16,Online business,52,1,0,Roysambu
1149,High,High,High,High,High,Medium,Very High,No,11,Physical business,11,1,1,Roysambu
1150,Very High,High,Very High,Very High,High,High,Very High,No,0,Physical business,3,1,1,Roysambu
1151,Medium,High,Very High,High,High,High,Medium,No,0,Physical business,6,0,0,Roysambu
1152,Very High,Very High,High,Very High,High,High,High,No,13,Physical business,16,1,1,Roysambu
1153,High,High,High,High,High,High,Medium,No,31,Online business,31,1,1,Roysambu
1154,High,High,High,High,High,Medium,High,No,0,Physical business,1,0,1,Roysambu
1155,Low,Low,Low,Low,Low,Low,Low,No,0,other,0,0,1,Roysambu
1156,Low,Very Low,Low,Low,Very Low,Low,Low,No,0,Physical business,0,0,1,Roysambu
1157,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Roysambu
1158,Medium,High,Medium,Medium,High,Medium,Medium,No,0,Physical business,4,1,0,Roysambu
1159,Medium,High,High,High,High,Medium,High,No,3,Physical business,3,1,1,Roysambu
1160,High,High,Very High,High,Very High,High,High,Yes,9,Physical business,9,0,1,Roysambu
1161,Medium,High,High,High,Medium,Medium,Very High,No,3,Physical business,3,0,1,Roysambu
1162,High,High,High,High,High,Medium,High,No,2,Physical business,3,0,1,Roysambu
1163,High,High,High,High,High,High,Medium,Yes,5,Physical business,12,0,1,Roysambu
1164,High,Medium,Very High,High,Very High,High,High,No,4,Online business,5,0,1,Roysambu
1165,High,High,High,High,High,High,Very High,No,2,Physical business,2,0,1,Roysambu
1166,Medium,High,High,High,High,Medium,Medium,Yes,10,Online business,10,0,1,Roysambu
1167,High,High,High,High,High,High,High,Yes,5,Physical business,17,1,0,Roysambu
1168,High,High,High,High,High,High,High,No,12,Physical business,18,1,1,Roysambu
1169,High,Medium,High,High,High,High,High,No,2,Online business,3,0,1,Roysambu
1170,Medium,Medium,High,Medium,Medium,Medium,Medium,No,6,Online business,7,0,1,Roysambu
1171,High,High,High,High,High,High,High,No,0,Physical business,4,1,1,Roysambu
1172,Medium,High,High,High,Medium,Medium,High,Yes,27,Online business,25,1,1,Roysambu
1173,High,High,High,High,High,High,High,Yes,4,Physical business,8,0,1,Roysambu
1174,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,4,0,1,Roysambu
1175,High,Medium,High,High,High,High,Medium,Yes,3,Online business,3,0,1,Roysambu
1176,High,High,High,High,High,High,High,No,1,Physical business,2,0,1,Roysambu
1177,High,Medium,High,High,High,High,High,No,0,Physical business,3,0,1,Roysambu
1178,Very High,High,Very High,Very High,High,Very High,Very High,Yes,4,Online business,5,0,0,Roysambu
1179,High,Medium,Medium,Medium,Medium,High,High,No,4,Physical business,5,0,0,Roysambu
1180,High,High,High,High,High,High,High,Yes,0,Physical business,1,0,1,Roysambu
1181,Medium,High,High,High,High,Medium,High,No,0,Physical business,3,0,1,Roysambu
1182,Medium,High,Medium,Medium,High,Very High,High,No,0,Physical business,1,0,0,Roysambu
1183,High,High,High,High,High,Medium,Medium,Yes,13,Online business,23,1,0,Roysambu
1184,High,High,High,High,High,High,High,No,7,Online business,9,0,0,Roysambu
1185,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Roysambu
1186,High,High,Medium,High,High,Very High,High,No,0,Physical business,2,0,1,Roysambu
1187,High,High,High,High,High,High,High,Yes,11,Online business,11,1,1,Roysambu
1188,High,High,High,High,High,High,High,No,3,Physical business,3,0,0,Roysambu
1189,Medium,Medium,Low,Medium,Low,Low,Low,No,0,Physical business,3,0,1,Roysambu
1190,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Roysambu
1191,High,Medium,High,High,High,Very High,Very High,Yes,4,Online business,4,0,1,Roysambu
1192,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Roysambu
1193,Very Low,Low,Low,Low,Low,Low,Low,No,0,other,0,0,1,Roysambu
1194,High,High,High,High,High,High,Very High,Yes,10,Online business,13,0,0,Roysambu
1195,High,High,High,High,High,High,Very High,Yes,5,Online business,5,0,0,Roysambu
1196,Medium,High,High,High,High,High,High,No,8,Online business,8,1,1,Roysambu
1197,High,Medium,High,High,High,High,High,Yes,1,Online business,2,0,0,Roysambu
1198,High,High,High,High,High,High,High,Yes,3,Online business,3,1,1,Roysambu
1199,Medium,Medium,Very High,High,Very High,Medium,High,Yes,3,Online business,3,1,1,Roysambu
1200,Medium,High,High,High,High,Low,Medium,No,1,Physical business,1,0,1,Roysambu
1201,High,High,High,High,High,High,High,No,2,Physical business,2,1,1,Roysambu
1202,High,High,High,High,High,Medium,High,Yes,3,Physical business,3,0,1,Roysambu
1203,Medium,High,Medium,Medium,High,Medium,High,No,12,Online business,12,0,1,Roysambu
1204,High,High,High,High,High,Medium,High,No,2,Physical business,2,0,1,Roysambu
1205,High,High,Medium,High,Medium,Medium,High,Yes,12,Online business,12,0,1,Roysambu
1206,High,High,Medium,High,High,High,High,Yes,15,Online business,15,0,1,Roysambu
1207,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,13,Physical business,13,0,1,Roysambu
1208,Medium,Medium,Medium,Medium,High,Medium,Medium,Yes,10,Online business,10,0,1,Roysambu
1209,Medium,Medium,High,Medium,High,High,Medium,Yes,3,Online business,6,1,0,Roysambu
1210,High,High,High,High,High,High,High,Yes,8,Online business,8,1,1,Roysambu
1211,Medium,High,Medium,Medium,High,Medium,High,Yes,9,Online business,9,0,1,Roysambu
1212,Medium,High,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Roysambu
1213,Medium,Medium,High,Medium,Medium,High,High,No,4,Online business,4,0,0,Roysambu
1214,Medium,High,High,High,Medium,Medium,Medium,Yes,6,Online business,6,0,0,Roysambu
1215,Medium,Medium,High,Medium,High,High,High,Yes,1,Physical business,9,0,1,Roysambu
243,High,Medium,High,High,High,Medium,High,No,6,Physical business,5,0,1,Ruaraka
417,High,High,High,High,High,Medium,High,Yes,3,Online business,5,0,1,Ruaraka
630,High,High,Medium,High,High,Medium,High,No,0,Physical business,2,0,0,Ruaraka
764,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,90,Online business,100,0,0,Ruaraka
769,Medium,Medium,High,Medium,Very High,Medium,Medium,No,0,Physical business,8,0,0,Ruaraka
788,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,12,0,1,Ruaraka
792,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,2,0,1,Ruaraka
793,High,Medium,High,High,High,High,High,No,6,Physical business,6,1,0,Ruaraka
794,High,Medium,High,High,Medium,Medium,High,No,0,Physical business,7,1,1,Ruaraka
795,Medium,Medium,Medium,Medium,Medium,High,High,No,9,Physical business,9,0,1,Ruaraka
797,Medium,High,Medium,Medium,Medium,Medium,High,No,6,Physical business,10,0,1,Ruaraka
798,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,1,Ruaraka
800,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Ruaraka
801,Low,Medium,Low,Low,Low,Low,Low,No,0,Physical business,1,0,1,Ruaraka
803,High,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,6,1,1,Ruaraka
804,High,Medium,Medium,Medium,High,Medium,High,Yes,12,Online business,12,0,0,Ruaraka
805,High,High,High,High,High,High,High,Yes,4,Physical business,5,0,1,Ruaraka
809,Medium,Low,Low,Low,Low,Low,Low,Yes,0,Physical business,1,0,0,Ruaraka
810,High,High,Low,Medium,Medium,Low,Medium,Yes,2,Online business,2,0,0,Ruaraka
812,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,6,0,1,Ruaraka
813,Medium,Medium,Low,Medium,Low,Medium,Medium,No,2,Physical business,2,0,0,Ruaraka
814,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,4,Physical business,4,0,1,Ruaraka
815,High,High,Medium,High,High,Medium,Medium,No,11,Physical business,11,0,0,Ruaraka
817,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,5,Physical business,5,0,1,Ruaraka
818,High,High,Medium,High,Medium,Medium,High,No,0,Physical business,8,0,0,Ruaraka
819,Medium,Low,Medium,Medium,Medium,Medium,Low,Yes,8,Online business,12,1,0,Ruaraka
827,High,Medium,Medium,Medium,High,Low,Medium,No,0,Physical business,6,0,1,Ruaraka
828,Medium,High,Medium,Medium,Medium,Medium,High,No,0,Physical business,7,0,1,Ruaraka
831,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Ruaraka
832,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,5,0,1,Ruaraka
833,Medium,Medium,Low,Medium,Medium,Medium,Medium,Yes,1,Physical business,2,0,1,Ruaraka
834,High,High,Medium,High,Medium,Medium,Medium,No,0,Physical business,4,0,1,Ruaraka
835,Medium,Medium,Medium,Medium,High,Medium,Medium,No,0,Physical business,4,0,0,Ruaraka
836,Medium,Medium,High,Medium,High,Medium,Medium,No,0,Physical business,5,0,1,Ruaraka
837,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Online business,23,0,1,Ruaraka
838,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,3,Physical business,7,0,1,Ruaraka
839,Medium,Low,High,Medium,High,High,High,No,0,Physical business,4,0,0,Ruaraka
840,Very High,High,High,High,High,High,High,No,3,Physical business,4,0,1,Ruaraka
841,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,5,0,1,Ruaraka
842,High,High,Medium,High,High,High,High,No,0,Physical business,3,0,0,Ruaraka
843,High,High,Medium,High,Low,Low,Medium,No,2,Physical business,3,0,0,Ruaraka
844,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,0,Physical business,3,0,1,Ruaraka
845,Medium,Medium,High,Medium,Medium,Medium,Medium,No,0,Physical business,3,0,0,Ruaraka
846,High,Low,High,Medium,High,High,High,No,0,Physical business,4,0,0,Ruaraka
847,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Ruaraka
848,Medium,Medium,High,Medium,Medium,Medium,High,Yes,4,Physical business,4,0,1,Ruaraka
849,Medium,Low,Medium,Medium,High,Low,Medium,No,0,Physical business,2,0,1,Ruaraka
850,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Ruaraka
851,High,High,High,High,High,Medium,High,No,0,Physical business,3,0,0,Ruaraka
852,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,1,0,1,Ruaraka
853,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Ruaraka
854,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Ruaraka
855,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Ruaraka
856,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Ruaraka
857,High,Medium,Medium,Medium,Medium,High,High,No,0,Physical business,3,0,0,Ruaraka
858,High,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,4,0,0,Ruaraka
859,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,4,0,1,Ruaraka
860,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,5,0,1,Ruaraka
861,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,3,0,1,Ruaraka
862,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Physical business,6,0,1,Ruaraka
863,High,High,High,High,High,High,High,No,3,Physical business,4,0,0,Ruaraka
864,Medium,High,High,High,High,Low,Medium,No,0,Physical business,4,0,0,Ruaraka
865,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,0,Online business,7,0,1,Ruaraka
866,High,High,High,High,High,High,Medium,No,0,Physical business,22,0,1,Ruaraka
868,Medium,High,Medium,Medium,Medium,High,High,No,1,Physical business,3,0,1,Ruaraka
869,High,Medium,High,High,High,High,High,Yes,0,Physical business,3,0,0,Ruaraka
870,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,5,Physical business,5,1,0,Ruaraka
871,Medium,Medium,Medium,Medium,Low,Medium,Medium,No,11,Physical business,13,0,1,Ruaraka
872,Medium,Medium,Medium,Medium,Medium,Low,Low,Yes,7,Online business,7,0,0,Ruaraka
873,High,High,High,High,High,High,High,Yes,6,Online business,6,0,1,Ruaraka
874,High,High,Medium,High,Medium,Medium,Medium,Yes,2,Online business,2,0,1,Ruaraka
875,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,7,Physical business,11,0,1,Ruaraka
876,High,High,High,High,High,High,High,No,5,Physical business,5,0,1,Ruaraka
877,High,High,Medium,High,High,Medium,High,No,5,Physical business,7,0,1,Ruaraka
878,Medium,High,High,High,High,Very High,High,No,2,Online business,2,0,1,Ruaraka
879,High,High,Medium,High,Medium,Medium,Medium,No,3,Physical business,3,0,1,Ruaraka
880,High,High,Medium,High,High,High,Medium,No,1,Online business,3,0,1,Ruaraka
881,Medium,Medium,High,Medium,High,Medium,High,Yes,8,Physical business,8,0,1,Ruaraka
882,Medium,High,High,High,High,High,High,No,0,Physical business,6,0,1,Ruaraka
883,Medium,Low,High,Medium,Medium,Medium,Low,Yes,1,Online business,4,0,1,Ruaraka
884,Medium,High,Low,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Ruaraka
885,Medium,Medium,Low,Medium,Low,Medium,Low,Yes,1,Physical business,1,0,1,Ruaraka
886,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Online business,1,0,0,Ruaraka
887,High,Low,Low,Medium,Medium,Very Low,Low,No,1,Physical business,1,0,1,Ruaraka
888,Medium,Low,Medium,Medium,Medium,High,Low,No,9,Online business,25,0,1,Ruaraka
889,Medium,Medium,Medium,Medium,Medium,High,Medium,Yes,2,Physical business,4,0,1,Ruaraka
890,High,High,Medium,High,Medium,Medium,Medium,Yes,0,Online business,3,0,1,Ruaraka
893,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Ruaraka
894,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Online business,3,0,1,Ruaraka
895,High,High,Medium,High,Medium,Medium,High,No,3,Online business,4,0,1,Ruaraka
896,Medium,High,Medium,Medium,Medium,Medium,Medium,No,0,Online business,2,0,1,Ruaraka
899,Medium,Medium,Medium,Medium,High,Medium,Medium,Yes,0,Online business,4,0,1,Ruaraka
900,Medium,Medium,Medium,Medium,Medium,High,High,No,0,Physical business,5,0,1,Ruaraka
901,Medium,High,High,High,High,High,High,Yes,0,Physical business,7,0,1,Ruaraka
902,High,High,High,High,High,High,High,No,1,Online business,9,1,1,Ruaraka
903,Medium,High,Medium,Medium,High,Medium,Medium,No,0,Physical business,10,1,1,Ruaraka
904,High,High,Medium,High,High,Medium,Medium,No,0,Online business,13,0,1,Ruaraka
905,Medium,High,Medium,Medium,High,Medium,High,No,5,Online business,8,0,1,Ruaraka
933,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,10,Online business,10,0,1,Ruaraka
934,Medium,Medium,High,Medium,High,Medium,Medium,No,0,Physical business,4,0,0,Ruaraka
937,Medium,High,High,High,High,High,Medium,No,10,Physical business,50,0,1,Ruaraka
941,Medium,Medium,High,Medium,Medium,Medium,Medium,Yes,4,Online business,4,0,1,Ruaraka
946,High,High,High,High,Medium,High,High,No,5,Physical business,5,0,1,Ruaraka
948,High,High,High,High,High,High,High,No,7,Physical business,12,0,1,Ruaraka
949,High,High,Medium,High,High,Medium,Medium,Yes,6,Online business,7,0,0,Ruaraka
952,High,High,High,High,High,High,High,Yes,18,Online business,18,0,1,Ruaraka
953,High,High,High,High,High,High,High,No,9,Physical business,11,0,1,Ruaraka
956,High,High,High,High,High,High,Very High,Yes,6,Online business,6,0,1,Ruaraka
999,High,High,High,High,Medium,Medium,Medium,No,0,Physical business,4,0,1,Ruaraka
1000,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Online business,2,0,1,Ruaraka
1008,Low,Medium,High,Medium,Medium,High,Medium,No,7,Physical business,7,0,1,Ruaraka
248,High,High,Medium,High,High,High,High,Yes,0,Online business,1,0,1,Starehe
250,High,High,High,High,High,Medium,High,No,0,Online business,1,0,1,Starehe
252,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Starehe
253,Medium,Medium,Medium,Medium,Medium,High,Medium,Yes,1,Physical business,4,0,1,Starehe
264,High,Medium,High,High,High,High,High,Yes,13,Online business,34,1,1,Starehe
269,High,High,Medium,High,High,High,High,Yes,3,Online business,5,1,1,Starehe
271,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Online business,3,0,1,Starehe
272,Medium,Medium,Medium,Medium,High,Medium,High,Yes,3,Physical business,7,0,1,Starehe
273,High,High,High,High,High,Medium,High,Yes,1,Online business,3,1,1,Starehe
275,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Online business,1,0,1,Starehe
277,Medium,Medium,Medium,Medium,Medium,Medium,High,Yes,3,Online business,3,0,1,Starehe
278,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,8,Online business,15,0,0,Starehe
279,High,High,High,High,High,Medium,High,No,50,Online business,210,0,0,Starehe
280,Medium,High,High,High,High,Medium,Medium,No,0,Online business,2,0,1,Starehe
281,High,High,High,High,Medium,Medium,Medium,No,0,Online business,1,0,1,Starehe
282,Medium,Medium,Medium,Medium,Medium,High,Medium,No,6,Physical business,10,0,0,Starehe
286,Medium,High,High,High,Medium,Medium,High,No,0,Online business,1,0,1,Starehe
297,High,High,Medium,High,High,High,High,Yes,0,Online business,3,0,1,Starehe
298,Medium,Medium,High,Medium,Medium,Medium,Medium,No,1,Physical business,4,0,1,Starehe
299,Medium,High,High,High,High,Medium,Medium,Yes,70,Physical business,300,0,1,Starehe
301,Low,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,0,Starehe
303,Medium,Low,Medium,Medium,Low,Low,Medium,No,0,Physical business,3,0,1,Starehe
305,High,Medium,High,High,High,Medium,Medium,Yes,10,Physical business,28,0,1,Starehe
306,High,High,High,High,Medium,Medium,High,No,1,Online business,1,0,1,Starehe
308,Medium,Low,Medium,Medium,Medium,Medium,High,No,4,Physical business,10,0,1,Starehe
